,City,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness,Country,Data Receiving Time (GMT)
78,limbang,4.75,115.0,80.01,94,1.99,98,MY,1603928409
79,hithadhoo,-0.6,73.08,83.1,74,11.88,3,MV,1603928410
80,katsuura,35.13,140.3,66.0,57,3.0,2,JP,1603928410
81,severo-yeniseyskiy,60.37,93.04,17.49,97,10.54,100,RU,1603928410
82,birao,10.28,22.79,75.31,36,4.38,0,CF,1603928410
83,yellowknife,62.46,-114.35,24.01,97,3.24,96,CA,1603928410
84,kavieng,-2.57,150.8,84.87,65,4.34,100,PG,1603928410
85,port blair,11.67,92.75,79.81,80,1.01,90,IN,1603928172
86,alofi,-19.06,-169.92,73.74,79,23.85,19,NU,1603928410
87,komsomolskiy,40.43,71.72,42.87,56,2.04,99,UZ,1603928411
88,albany,42.6,-73.97,46.99,90,4.23,49,US,1603928199
89,shimoda,34.67,138.95,64.99,64,5.41,14,JP,1603928411
90,nador,35.17,-2.93,61.88,58,2.17,11,MA,1603928411
91,merauke,-8.47,140.33,82.4,67,4.99,65,ID,1603928179
92,oranjemund,-28.55,16.43,59.72,74,0.29,97,NA,1603928411
93,salalah,17.02,54.09,78.06,70,2.46,21,OM,1603928411
94,kaitangata,-46.28,169.85,51.01,87,12.1,100,NZ,1603928411
95,sitka,57.05,-135.33,45.95,71,3.78,33,US,1603928412
96,port elizabeth,-33.92,25.57,61.0,93,1.01,74,ZA,1603928412
97,victoria,22.29,114.16,75.99,72,3.0,99,HK,1603928193
98,srednekolymsk,67.45,153.68,9.03,93,2.71,96,RU,1603928412
99,busselton,-33.65,115.33,57.99,71,11.99,0,AU,1603928412
100,saint-philippe,-21.36,55.77,60.01,92,1.99,96,RE,1603928412
101,castro,-24.79,-50.01,63.1,51,2.04,0,BR,1603928412
102,dinganen,7.33,124.38,79.39,77,2.91,72,PH,1603928412
103,isangel,-19.55,169.27,78.85,62,16.37,15,VU,1603928412
104,ribeira grande,38.52,-28.7,66.92,85,19.57,4,PT,1603928412
105,east london,-33.02,27.91,67.84,84,1.7,97,ZA,1603928413
106,saskylakh,71.92,114.08,2.7,90,9.93,97,RU,1603928413
107,nanortalik,60.14,-45.24,32.76,91,14.2,100,GL,1603928413
108,ponta do sol,32.67,-17.1,64.0,64,1.99,92,PT,1603928413
109,nishihara,26.18,127.76,73.0,83,10.38,31,JP,1603928413
110,bredasdorp,-34.53,20.04,63.0,65,1.99,100,ZA,1603928413
111,gazojak,41.19,61.4,33.71,84,10.92,0,TM,1603928413
112,grindavik,63.84,-22.43,46.4,42,20.8,0,IS,1603928413
113,carlisle,40.2,-77.19,55.0,92,4.81,100,US,1603928354
114,mormugao,15.4,73.8,77.86,66,5.68,34,IN,1603928414
115,lavrentiya,65.58,-171.0,27.34,86,3.2,98,RU,1603928414
116,wawa,9.9,4.42,76.73,43,1.68,0,NG,1603928414
117,dali,25.7,100.18,56.25,87,2.42,10,CN,1603928414
118,kautokeino,69.01,23.04,21.92,94,3.78,18,NO,1603928414
119,georgetown,5.41,100.34,78.01,94,5.01,100,MY,1603928414
120,severo-kurilsk,50.68,156.12,44.6,79,8.1,73,RU,1603928414
121,longyearbyen,78.22,15.64,21.74,94,5.82,99,SJ,1603928414
122,port hardy,50.7,-127.42,51.8,94,19.46,100,CA,1603928410
123,shingu,33.73,135.98,65.3,62,2.89,2,JP,1603928415
124,broken hill,-31.95,141.43,71.53,33,10.87,32,AU,1603928415
125,vodnyy,63.5,53.41,43.02,84,18.1,100,RU,1603928415
126,havelock,34.88,-76.9,72.0,87,5.66,24,US,1603928415
127,bogalusa,30.79,-89.85,77.0,78,5.99,100,US,1603928415
128,chuy,-33.7,-53.46,57.24,82,11.99,89,UY,1603928415
129,saint george,37.1,-113.58,71.6,12,5.82,1,US,1603928156
130,lagoa vermelha,-28.21,-51.53,57.02,72,1.21,0,BR,1603928415
131,ustka,54.58,16.86,48.25,92,13.2,74,PL,1603928416
132,yar-sale,66.83,70.83,7.75,88,16.91,54,RU,1603928416
133,lata,40.16,-8.33,57.0,89,1.43,0,PT,1603928416
134,machico,32.7,-16.77,59.0,95,4.47,79,PT,1603928416
135,fukue,32.69,128.84,68.67,57,9.55,60,JP,1603928416
136,torres,-29.34,-49.73,66.87,90,6.71,0,BR,1603928416
137,guantanamo,20.14,-75.21,84.0,74,17.0,4,CU,1603928416
138,thompson,55.74,-97.86,13.96,88,4.81,64,CA,1603928185
139,ola,59.58,151.28,30.61,86,5.7,85,RU,1603928417
140,mendoza,-32.89,-68.83,68.0,30,6.93,0,AR,1603928391
141,mahebourg,-20.41,57.7,71.01,75,3.0,80,MU,1603928417
142,ayan,56.45,138.17,34.95,97,14.99,100,RU,1603928417
143,arraial do cabo,-22.97,-42.03,75.16,93,13.15,0,BR,1603928417
144,marawi,8.0,124.29,75.25,79,3.47,80,PH,1603928417
145,osmena,10.52,119.93,82.92,73,4.05,52,PH,1603928417
146,atarra,25.28,80.57,67.78,34,1.1,0,IN,1603928296
147,olafsvik,64.89,-23.71,42.37,71,26.46,14,IS,1603928417
148,yuzhou,34.16,113.46,55.33,40,1.83,19,CN,1603928418
149,riyadh,24.69,46.72,59.85,29,2.75,0,SA,1603928237
150,viet tri,21.3,105.43,70.84,88,3.09,100,VN,1603928418
151,nsanje,-16.92,35.26,70.29,79,4.25,1,MW,1603928418
152,bairiki,1.33,172.98,81.18,67,4.79,1,KI,1603928418
153,abnub,27.27,31.15,72.23,58,7.47,7,EG,1603928418
154,provideniya,64.38,-173.3,26.8,89,2.1,74,RU,1603928418
155,bambous virieux,-20.34,57.76,71.01,75,3.0,73,MU,1603928418
156,pauini,-7.71,-66.98,82.54,67,2.51,94,BR,1603928419
157,banda aceh,5.56,95.32,80.85,69,9.82,100,ID,1603928419
158,changping,40.22,116.22,55.99,42,1.72,100,CN,1603928419
159,bathsheba,13.22,-59.52,81.5,81,22.15,100,BB,1603928419
160,brus laguna,15.75,-84.48,74.77,94,1.3,94,HN,1603928419
161,bartlett,35.2,-89.87,59.0,100,5.99,100,US,1603928224
162,coquimbo,-29.95,-71.34,56.77,69,4.79,0,CL,1603928419
163,tougan,13.07,-3.07,78.73,16,6.17,0,BF,1603928420
164,lorengau,-2.02,147.27,85.93,63,2.71,53,PG,1603928420
165,barrow,71.29,-156.79,24.8,58,6.93,90,US,1603928420
166,narsaq,60.92,-46.05,32.09,89,1.99,100,GL,1603928420
167,taybad,34.74,60.78,37.18,73,7.31,0,IR,1603928377
168,kahului,20.89,-156.47,82.99,65,5.01,16,US,1603928267
169,deputatskiy,69.3,139.9,-5.35,91,1.45,86,RU,1603928420
170,urengoy,65.97,78.37,-4.29,88,5.06,0,RU,1603928420
171,chernoyerkovskaya,45.43,37.77,57.0,71,20.0,56,RU,1603928421
172,pachino,36.72,15.09,57.99,71,5.32,0,IT,1603928421
173,kiruna,67.86,20.23,19.47,97,1.86,52,SE,1603928421
174,cabo san lucas,22.89,-109.91,80.01,54,4.0,13,MX,1603928193
175,nova vicosa,-17.89,-39.37,78.37,84,15.9,100,BR,1603928421
176,sobolevo,54.43,31.9,41.56,88,7.18,1,RU,1603928421
177,bundaberg,-24.85,152.35,82.99,55,7.0,0,AU,1603928421
178,codrington,-38.27,141.97,59.0,73,7.0,70,AU,1603928421
179,mubende,0.56,31.39,62.82,97,0.78,86,UG,1603928421
180,constitucion,-35.33,-72.42,55.09,66,14.7,0,CL,1603928395
181,vila velha,-20.33,-40.29,82.0,87,8.99,65,BR,1603928422
182,saint-georges,12.06,-61.75,81.34,84,14.58,100,GD,1603928422
183,kutum,14.2,24.67,73.27,24,9.35,3,SD,1603928368
184,waipawa,-41.41,175.52,63.0,87,8.99,99,NZ,1603928362
185,baykit,61.67,96.37,24.75,96,3.65,98,RU,1603928422
186,yulara,-25.24,130.99,87.08,12,14.27,0,AU,1603928196
187,san francisco,37.77,-122.42,73.99,32,5.01,0,US,1603927844
188,rabo de peixe,37.8,-25.58,66.99,76,9.55,16,PT,1603928422
189,biak,-0.91,122.88,81.88,66,3.65,82,ID,1603928423
190,nicoya,10.15,-85.45,77.56,90,1.16,100,CR,1603928144
191,carnarvon,-24.87,113.63,74.75,54,11.65,0,AU,1603928423
192,ginir,7.13,40.7,54.32,82,4.72,14,ET,1603928423
193,tasiilaq,65.61,-37.64,35.6,31,19.46,100,GL,1603928423
194,sinnamary,5.38,-52.95,81.46,80,11.88,0,GF,1603928423
195,waddan,29.16,16.14,59.18,66,6.8,0,LY,1603928423
196,profitis ilias,35.21,25.1,70.0,70,13.0,2,GR,1603928423
197,alacranes,22.77,-81.57,77.11,92,6.76,3,CU,1603928424
198,tautira,-17.73,-149.15,75.0,94,17.0,46,PF,1603928424
199,tyubuk,56.06,60.94,32.05,89,13.42,3,RU,1603928424
200,liwale,-9.77,37.93,71.42,82,5.86,41,TZ,1603928424
201,monywa,22.12,95.13,77.2,83,4.07,80,MM,1603928424
202,samarai,-10.62,150.67,82.42,73,4.23,78,PG,1603928424
203,guerrero negro,27.98,-114.06,70.92,39,13.91,0,MX,1603928424
204,lakes entrance,-37.88,147.98,68.0,64,1.01,4,AU,1603928424
205,yenangyaung,20.47,94.88,76.24,86,4.74,93,MM,1603928424
206,baherden,38.44,57.43,45.32,49,11.54,28,TM,1603928425
207,manzanillo,20.34,-77.12,78.35,87,6.51,6,CU,1603928425
208,kjollefjord,70.95,27.35,38.3,84,6.89,99,NO,1603928425
209,manggar,-2.88,108.27,82.71,79,8.46,35,ID,1603928425
210,pestovo,58.59,35.8,45.14,94,7.16,83,RU,1603928425
211,flinders,-34.58,150.86,61.0,95,1.99,93,AU,1603928425
212,port lincoln,-34.73,135.87,61.32,69,21.21,66,AU,1603928425
213,ozinki,51.18,49.68,32.99,88,7.4,0,RU,1603928425
214,madras,13.09,80.28,79.72,70,11.95,100,IN,1603928246
215,mount hagen,-5.86,144.23,70.7,72,3.11,40,PG,1603928426
216,henties bay,-22.12,14.28,57.99,89,3.0,32,NA,1603928426
217,san carlos de bariloche,-41.15,-71.31,36.28,83,6.38,100,AR,1603928424
218,shunyi,40.12,116.65,55.99,31,2.89,100,CN,1603928426
219,natchitoches,31.77,-93.13,69.01,98,1.01,100,US,1603928426
220,honningsvag,70.98,25.97,40.71,78,14.18,100,NO,1603928426
221,eureka,40.8,-124.16,68.0,54,2.82,0,US,1603928426
222,marzuq,14.4,46.47,61.0,30,3.51,0,YE,1603928426
223,mackay,-21.15,149.2,84.0,40,1.45,0,AU,1603928426
224,maltahohe,-24.83,16.98,68.41,26,12.06,93,NA,1603928427
225,oussouye,12.48,-16.55,80.8,65,4.47,16,SN,1603928427
226,pekan,3.48,103.4,75.0,10,3.51,100,MY,1603928427
227,bengkulu,-3.8,102.27,76.6,81,3.51,100,ID,1603928427
228,abu samrah,35.3,37.18,64.58,62,4.18,81,SY,1603928427
229,fort morgan,40.25,-103.8,37.49,80,8.72,32,US,1603928427
230,dasoguz,41.84,59.97,34.05,83,10.36,0,TM,1603928427
231,singaraja,-8.11,115.09,84.07,65,1.57,43,ID,1603928427
232,malumfashi,11.79,7.62,70.9,35,2.26,5,NG,1603928427
233,ketchikan,55.34,-131.65,46.13,75,1.21,47,US,1603928428
234,mae sai,20.43,99.88,70.0,96,2.42,100,TH,1603928428
235,acarau,-2.89,-40.12,78.3,82,15.17,10,BR,1603928428
236,magadan,59.57,150.8,31.06,86,6.04,92,RU,1603928428
237,middelburg,-25.78,29.46,65.21,39,7.65,0,ZA,1603928428
238,seymchan,62.88,152.43,10.11,90,1.97,13,RU,1603928428
239,moron,-34.65,-58.62,59.0,88,1.01,65,AR,1603928428
240,kalmunai,7.42,81.82,77.97,80,4.65,54,LK,1603928428
241,praia da vitoria,38.73,-27.07,66.99,88,5.99,36,PT,1603928428
242,fare,-16.7,-151.02,80.76,79,15.84,35,PF,1603928429
243,hamilton,39.18,-84.53,53.01,87,4.47,100,US,1603928200
244,san quintin,30.48,-115.95,69.71,39,10.38,0,MX,1603928429
245,luau,-10.71,22.22,66.43,92,4.34,90,AO,1603928429
246,atar,20.52,-13.05,80.8,21,9.13,16,MR,1603928429
247,prado,-17.34,-39.22,77.97,85,13.87,100,BR,1603928429
248,vitim,59.45,112.56,12.38,93,6.6,69,RU,1603928429
249,vila,42.03,-8.16,46.99,92,3.0,8,PT,1603928429
250,vanimo,-2.67,141.3,86.41,62,1.19,81,PG,1603928430
251,alice springs,-23.7,133.88,85.98,13,16.51,0,AU,1603928407
252,kudahuvadhoo,2.67,72.89,82.49,77,12.46,77,MV,1603928430
253,mongo,12.18,18.69,82.45,33,2.21,64,TD,1603928430
254,buala,-8.14,159.59,81.12,82,4.29,100,SB,1603928430
255,caravelas,-17.71,-39.25,78.4,83,13.38,100,BR,1603928430
256,northam,51.03,-4.22,52.0,87,11.99,100,GB,1603928430
257,orange,33.7,-117.77,73.99,38,3.0,0,US,1603928292
258,cascais,38.7,-9.42,63.0,73,4.14,40,PT,1603928306
259,roald,62.58,6.13,48.99,71,8.01,98,NO,1603928430
260,cidreira,-30.18,-50.21,65.98,87,5.53,4,BR,1603928431
261,pangkalanbuun,-2.68,111.62,80.26,82,2.82,89,ID,1603928431
262,souillac,-20.52,57.52,71.01,75,3.0,90,MU,1603928431
263,meulaboh,4.14,96.13,76.12,83,4.16,100,ID,1603928431
264,butaritari,3.07,172.79,81.32,71,3.53,100,KI,1603928431
265,domoni,-12.26,44.53,76.3,78,3.62,15,KM,1603928431
266,labrea,-7.26,-64.8,78.46,82,4.18,85,BR,1603928431
267,severodvinsk,64.56,39.83,45.09,84,11.3,54,RU,1603928431
268,stawell,-37.05,142.77,58.06,67,12.24,62,AU,1603928431
269,phan thiet,10.93,108.1,77.29,82,2.51,98,VN,1603928432
270,aden,12.78,45.04,81.25,60,7.56,0,YE,1603928432
271,hunterville,-39.93,175.57,63.0,93,1.01,100,NZ,1603928432
272,cap malheureux,-19.98,57.61,71.01,75,3.0,45,MU,1603928432
273,beloha,-25.17,45.05,69.12,79,17.81,3,MG,1603928432
274,solnechnogorsk,56.18,36.98,39.99,94,6.87,4,RU,1603928432
275,imbituba,-28.24,-48.67,66.76,84,2.91,0,BR,1603928432
276,sorong,-0.88,131.25,78.22,85,10.07,98,ID,1603928432
277,sistranda,63.73,8.83,46.0,72,1.99,48,NO,1603928432
278,mbandaka,0.05,18.26,69.48,96,2.13,72,CD,1603928433
279,juneau,58.3,-134.42,44.01,95,3.65,100,US,1603928433
280,kharan,28.58,65.42,50.94,41,4.72,0,PK,1603928433
281,fort nelson,58.81,-122.7,32.56,89,1.43,2,CA,1603928433
282,inhambane,-23.86,35.38,72.46,88,10.63,17,MZ,1603928317
283,risod,19.97,76.78,66.97,55,2.28,0,IN,1603928433
284,portland,45.52,-122.68,64.99,67,0.78,19,US,1603928433
285,el alto,-4.27,-81.21,64.62,85,19.35,22,PE,1603928434
286,asosa,10.07,34.53,64.11,74,5.03,0,ET,1603928434
287,coachella,33.68,-116.17,79.0,20,7.0,0,US,1603928203
288,tiarei,-17.53,-149.33,75.0,94,17.0,42,PF,1603928434
289,pevek,69.7,170.31,21.31,95,16.6,100,RU,1603928434
290,torbay,47.67,-52.73,35.01,86,4.41,97,CA,1603928434
291,pacific grove,36.62,-121.92,73.99,48,4.68,0,US,1603928434
292,teluk nibung,3.0,99.82,77.77,86,2.73,100,ID,1603928434
293,bosaso,11.28,49.18,76.96,66,3.51,0,SO,1603928435
294,parkes,-33.13,148.18,66.74,52,4.74,1,AU,1603928435
295,cayenne,4.93,-52.33,81.16,82,10.56,31,GF,1603928389
296,acapulco,16.86,-99.89,82.11,77,6.42,36,MX,1603928282
297,taretan,19.33,-101.92,71.31,79,0.38,77,MX,1603928435
298,hofn,64.25,-15.21,43.47,82,24.83,98,IS,1603928435
299,broome,42.25,-75.83,45.0,97,1.01,56,US,1603928435
300,talaya,61.38,152.75,18.01,83,2.55,1,RU,1603928435
301,coos bay,43.37,-124.22,73.99,10,1.01,0,US,1603928436
302,boditi,6.97,37.87,53.56,50,2.8,18,ET,1603928436
303,mogapi,-22.32,27.83,68.79,30,9.19,0,BW,1603928436
304,flin flon,54.77,-101.86,18.73,86,1.77,57,CA,1603928436
305,montepuez,-13.13,39.0,68.79,87,3.36,0,MZ,1603928436
306,bireun,5.2,96.7,77.79,73,3.98,100,ID,1603928436
307,necochea,-38.55,-58.74,53.01,79,8.99,51,AR,1603928436
308,malanje,-9.54,16.34,65.79,98,5.06,100,AO,1603928436
309,ransang,8.96,117.58,83.97,63,3.36,38,PH,1603928436
310,coihaique,-45.58,-72.07,39.18,84,7.14,39,CL,1603928377
311,heinola,61.21,26.04,46.0,99,3.0,100,FI,1603928437
312,mantua,45.17,10.78,48.99,95,1.99,50,IT,1603928437
313,saint-augustin,51.23,-58.65,29.35,86,9.51,55,CA,1603928437
314,sofikon,37.8,23.05,64.0,59,1.01,80,GR,1603928437
315,chokurdakh,70.63,147.92,-4.81,91,7.16,44,RU,1603928437
316,kruisfontein,-34.0,24.73,61.0,93,1.01,67,ZA,1603928437
317,sompeta,18.93,84.6,75.0,55,5.88,0,IN,1603928438
318,comodoro rivadavia,-45.87,-67.5,57.81,35,8.43,0,AR,1603928438
319,palmer,42.16,-72.33,48.0,96,3.04,84,US,1603928438
320,kirakira,-10.45,161.92,85.28,69,11.74,93,SB,1603928438
321,shirgaon,19.7,72.7,77.59,59,4.03,0,IN,1603928438
322,rio grande,-32.03,-52.1,66.99,93,6.89,92,BR,1603928283
323,daoukro,7.06,-3.96,72.64,91,2.33,60,CI,1603928438
324,halifax,44.65,-63.57,39.0,85,6.22,17,CA,1603928145
325,ternate,0.8,127.4,79.86,76,10.98,100,ID,1603928439
326,vardo,70.37,31.11,39.96,80,15.64,88,NO,1603928439
327,husavik,66.04,-17.34,38.25,90,25.3,92,IS,1603928439
328,midland,32.0,-102.08,48.0,52,8.01,1,US,1603928439
329,bammatyurt,43.34,46.61,56.25,86,7.56,10,RU,1603928439
330,bako,5.78,36.57,62.51,86,4.0,27,ET,1603928439
331,rosario,-32.95,-60.64,57.0,78,4.0,48,AR,1603928439
332,zhurivka,50.5,31.78,44.56,85,6.51,0,UA,1603928440
333,sioux lookout,50.1,-91.92,23.76,91,6.89,97,CA,1603928258
334,louis trichardt,-23.04,29.9,65.89,37,5.06,0,ZA,1603928440
335,forst,51.73,14.63,51.01,87,1.99,90,DE,1603928440
336,floresta,-8.6,-38.57,82.44,58,13.62,100,BR,1603928440
337,karema,-6.82,30.44,75.76,65,3.71,91,TZ,1603928440
338,puri,19.8,85.85,74.19,59,10.29,2,IN,1603928440
339,faya,18.39,42.45,50.31,45,5.57,0,SA,1603928440
340,pinega,64.7,43.39,41.31,90,8.5,93,RU,1603928440
341,ponta delgada,37.73,-25.67,66.99,76,10.78,11,PT,1603928441
342,tevaitoa,-16.78,-151.5,80.67,79,18.19,19,PF,1603928441
343,hailar,49.2,119.7,26.15,90,6.31,0,CN,1603928441
344,ures,29.43,-110.4,79.0,14,1.01,0,MX,1603928441
345,andros town,24.7,-77.77,82.04,79,17.22,14,BS,1603928441
346,yekepa,7.58,-8.54,70.29,81,0.92,69,LR,1603928441
347,trairi,-3.28,-39.27,78.28,81,10.78,3,BR,1603928441
348,preobrazheniye,42.9,133.91,40.01,67,11.48,0,RU,1603928441
349,namibe,-15.2,12.15,68.79,83,5.32,86,AO,1603928442
350,karlskrona,56.16,15.59,50.7,88,10.47,61,SE,1603928442
351,kedougou,12.56,-12.17,76.82,35,2.64,100,SN,1603928442
352,coahuayana,18.73,-103.68,81.23,82,4.18,41,MX,1603928442
353,saint-denis,48.92,2.33,55.0,88,3.0,100,FR,1603928442
354,bende,5.56,7.64,74.39,95,3.91,100,NG,1603928442
355,san cristobal,7.77,-72.22,68.16,89,1.39,94,VE,1603928442
356,alugan,12.22,125.48,83.28,77,10.74,81,PH,1603928442
357,okhotsk,59.38,143.3,28.45,89,9.19,99,RU,1603928442
358,bandarbeyla,9.49,50.81,77.23,86,3.71,17,SO,1603928443
359,bull savanna,17.89,-77.59,77.29,85,5.48,47,JM,1603928443
360,hare bay,48.85,-54.01,26.01,79,8.99,70,CA,1603928443
361,casper,42.87,-106.31,34.72,84,3.47,43,US,1603928443
362,ostrovnoy,68.05,39.51,37.04,88,16.73,74,RU,1603928443
363,tura,25.52,90.22,70.05,90,4.0,0,IN,1603928443
364,clarence town,-32.58,151.78,69.01,83,4.0,94,AU,1603928443
365,rawah,34.48,41.91,65.75,25,2.19,36,IQ,1603928443
366,bubaque,11.28,-15.83,83.17,78,12.3,54,GW,1603928291
367,umm lajj,25.02,37.27,86.11,23,16.02,0,SA,1603928444
368,lagoa,39.05,-27.98,65.32,78,9.82,2,PT,1603928444
369,margate,51.38,1.39,51.01,78,4.0,55,GB,1603928444
370,popondetta,-8.75,148.25,91.98,51,3.36,45,PG,1603928444
371,ardakan,32.31,54.02,49.24,46,3.89,0,IR,1603928444
372,kodiak,57.79,-152.41,40.62,69,4.45,59,US,1603928444
373,yamada,39.47,141.95,56.01,59,9.64,33,JP,1603928444
374,yerbogachen,61.28,108.01,17.55,86,15.3,100,RU,1603928444
375,douentza,15.0,-2.95,79.88,16,3.31,89,ML,1603928444
376,whitehorse,60.72,-135.05,28.0,86,0.81,88,CA,1603928203
377,omsukchan,62.53,155.8,14.7,80,3.96,3,RU,1603928445
378,port hedland,-20.32,118.57,77.05,74,8.3,0,AU,1603928445
379,argir,62.0,-6.77,47.97,84,14.07,62,FO,1603928445
380,miri,4.41,114.01,78.01,94,5.99,90,MY,1603928445
381,anadyr,64.75,177.48,21.92,89,12.08,0,RU,1603928445
382,olinda,-8.01,-34.86,78.17,75,12.08,97,BR,1603928445
383,vanderhoof,54.02,-124.02,36.39,93,1.83,100,CA,1603928445
384,kabinda,-6.13,24.48,68.11,97,4.61,100,CD,1603928445
385,luderitz,-26.65,15.16,59.83,68,13.31,94,NA,1603928446
386,zbarazh,49.66,25.78,46.89,93,5.7,89,UA,1603928446
387,leshukonskoye,64.9,45.76,40.39,87,11.14,89,RU,1603928446
